Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,Unique_Metros,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
35221,FREEDOM BCORP,0003575787,0,0,0,0,0,35221,FREEDOM BANK,1405 N. MAIN ST.,HUNTINGBURG,IN,47542,18037,2021,202112,1,"548,497","548,497",S,,76.19%,88.66%,180656,4,0,1,Mortgage Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
2805544,FIRST SECURE BANK GROUP INC,0002805544,0,0,0,0,0,35223,FIRST SECURE COMMUNITY BANK,670 SUGAR GROVE PKWY.  ROUTE,SUGAR GROVE,IL,60554,17089,2021,202112,1,"496,374","1,133,085",S,,57.45%,84.00%,175696,17,1,1,C&I Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35229,,,0,0,0,0,0,35229,SOUTHERN ILLINOIS BANK,1012 W BROADWAY BLVD,JOHNSTON CITY,IL,62951,17199,2021,202112,1,"159,326","159,326",S,,46.96%,84.98%,66830,5,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35230,BANCORP FINANCIAL INC,0003477425,0,0,0,0,0,35230,EVERGREEN BANK GROUP,"1515 W. 22ND ST, # 100W",OAK BROOK,IL,60523,17043,2021,202112,1,"1,196,312","1,196,312",S,,79.56%,73.51%,556957,3,1,1,Other Consumer Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35236,CBB BCORP,0003236640,0,0,0,0,0,35236,CENTURY BANK OF GEORGIA,215 E. MAIN ST.,CARTERSVILLE,GA,30120,13015,2021,202112,1,"336,131","336,131",S,,34.66%,91.84%,229810,2,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35237,DEERE&COMPANY INC,0001277313,0,0,0,0,0,35237,"JOHN DEERE FINANCIAL, F.S.B.",8402 EXCELSIOR,MADISON,WI,53717,55025,2021,202112,0,"2,787,135","2,787,135",L,,98.93%,40.68%,1265660,1,1,1,Ag Lending Specialization,1,0,1,0,1,1,20220310
35241,OPTUS FINANCIAL CORP,0003334489,0,0,0,0,0,35241,OPTUS BANK,1545 SUMTER ST.,COLUMBIA,SC,29201,45079,2021,202112,1,"315,458","315,458",S,,42.00%,87.63%,267913,2,1,1,C&I Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35261,TWIN CITY BCORP INC,0003289477,0,0,0,0,0,35261,TWIN CITY BANK,729  VANDERCOOK WAY,LONGVIEW,WA,98632,53015,2021,202112,1,"72,015","72,015",S,,58.35%,90.54%,73715,1,0,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35267,,,0,0,0,1,0,35267,AIG FEDERAL SAVINGS BANK,"503 CARR RD, # 130",WILMINGTON,DE,19809,10003,2021,202112,0,"39,404","39,404",S,,0.00%,1.27%,500,1,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
1426960,BLUE RIDGE BANKSHARES INC,0001426960,0,0,0,0,0,35274,"BLUE RIDGE BANK, NATIONAL ASSOCIATION",1 E MARKET ST,MARTINSVILLE,VA,24112,51089,2021,202112,0,"2,640,347","2,640,347",L,,72.67%,85.21%,488361,32,4,2,Commercial Real Estate Lending Specialization,1,1,1,1,0,1,20220310
